userSpecific0,userSpecific1
342,1085.73
342,1085.73
342,1085.73
341,1082.41
342,1082.41
341,1079.03
341,1079.03
342,1082.5
342,1082.5
341,1078.81
341,1078.81
341,1078.81
342,1082.18
342,1082.18
341,1078.86
341,1078.86
340,1074.87
340,1074.87
340,1074.87
340,1074.87
341,1074.87
340,1071.31
341,1074.94
342,1074.94
342,1074.94
342,1074.94
342,1074.94
342,1074.94
342,1074.94
341,1069.17
341,1069.17
341,1069.17
340,1065.54
340,1065.54
340,1065.54
339,1062.1
339,1062.1
339,1062.1
339,1062.1
338,1058.58
338,1058.58
338,1058.58
338,1058.58
338,1058.58
338,1058.58
339,1061.88
339,1061.88
339,1061.88
340,1064.67
341,1064.67
341,1064.67
341,1064.67
342,1067.77
341,1064.31
341,1064.31
342,1064.31
342,1064.31
342,1064.31
342,1064.31
343,1066.63
343,1066.63
342,1063.12
343,1066.74
343,1066.74
343,1066.74
344,1066.74
345,1069.95
346,1073.19
347,1076.76
347,1076.76
347,1076.76
347,1076.76
348,1079.88
349,1083.42
350,1089.15
350,1089.15
350,1089.15
350,1089.15
349,1083.25
350,1087.25
349,1084.93
349,1084.93
350,1087.72
351,1091.72
350,1088.29
351,1097.09
351,1097.09
351,1097.09
352,1101.45
351,1097.8
350,1094.43
351,1094.43
350,1091.65
350,1091.65
350,1091.65
350,1091.65
350,1091.65
351,1097.01
351,1097.01
352,1097.01
351,1093.51
351,1093.51
351,1093.51
352,1099.89
353,1103.87
352,1100.24
351,1094.71
351,1094.71
352,1098.71
353,1102.01
352,1098.39
353,1098.39
352,1094.74
353,1098.74
352,1095.11
352,1095.11
352,1095.11
351,1091.78
350,1088.48
349,1085.16
349,1085.16
349,1085.16
349,1085.16
348,1081.16
348,1081.16
348,1081.16
347,1077.43
347,1077.43
348,1080.26
348,1080.26
349,1084.76
349,1084.76
350,1088.07
351,1092.31
351,1092.31
351,1092.31
352,1092.31
353,1095.61
353,1095.61
353,1095.61
353,1095.61
354,1098.88
354,1098.88
354,1098.88
354,1098.88
354,1098.88
354,1098.88
355,1102.76
354,1099.05
353,1095.83
352,1092.52
351,1092.52
350,1089.08
349,1085.1
348,1081.79
348,1081.79
349,1085.26
349,1085.26
349,1085.26
350,1088.65
349,1083.46
349,1083.46
350,1086.93
350,1086.93
351,1090.13
352,1093.41
352,1093.41
351,1093.41
352,1098.2
352,1098.2
352,1098.2
352,1098.2
352,1098.2
352,1098.2
352,1098.2
352,1098.2
352,1098.2
352,1098.2
351,1094.2
352,1094.2
353,1097.6
353,1097.6
352,1094.06
351,1089.7
351,1089.7
350,1086.5
350,1086.5
350,1086.5
350,1086.5
350,1086.5
351,1086.5
350,1082.84
351,1086.18
350,1080.5
351,1083.3
351,1083.3
351,1083.3
351,1083.3
350,1079.75
350,1079.75
351,1083.18
352,1086.7
351,1083.12
351,1083.12
351,1083.12
351,1083.12
350,1079.14
350,1079.14
351,1082.17
350,1078.64
349,1075.27
349,1075.27
350,1081.03
349,1072.87
348,1069.59
349,1074.06
350,1077.33
350,1077.33
350,1077.33
349,1074.02
350,1077.26
351,1081.1
351,1081.1
351,1081.1
351,1081.1
352,1084.41
351,1080.14
351,1080.14
350,1076.11
351,1079.74
352,1083.49
352,1083.49
351,1079.95
352,1082.92
352,1082.92
352,1082.92
351,1079.53
352,1081.84
352,1081.84
352,1081.84
353,1084.68
354,1088.57
355,1092.23
354,1088.93
355,1092.29
356,1096.13
356,1096.13
356,1096.13
357,1101.85
356,1097.86
357,1101.88
358,1105.88
359,1105.88
359,1105.88
359,1105.88
358,1100.49
358,1100.49
357,1098.18
357,1098.18
356,1090.85
356,1090.85
357,1094.56
356,1089.41
356,1089.41
355,1085.96
354,1082.43
353,1079.12
352,1070.95
352,1070.95
352,1070.95
351,1067.56
352,1071.57
353,1075.27
354,1078.12
354,1078.12
353,1073.98
353,1073.98
354,1073.98
355,1079.52
354,1075.82
355,1078.63
356,1083.12
356,1083.12
357,1086.45
357,1086.45
357,1086.45
356,1083.04
356,1083.04
357,1087.56
356,1083.91
356,1083.91
357,1087.25
356,1083.65
