userSpecific0,userSpecific1
212,636.677
213,639.638
214,639.638
215,639.638
216,639.638
217,642.546
218,646.856
219,650.002
220,652.797
221,652.797
222,656.816
223,656.816
224,656.816
223,652.428
224,655.581
225,660.557
226,660.557
225,654.963
226,658.667
225,654.556
226,658.559
227,658.559
228,666.06
229,666.06
230,666.06
231,669.564
230,665.201
231,667.227
230,663.523
231,666.329
232,669.896
231,665.896
232,665.896
231,660.42
232,666.614
233,672.324
234,679.793
235,679.793
236,679.793
237,683.812
238,687.831
239,687.831
240,691.832
241,694.619
242,694.619
241,694.619
242,694.619
243,694.619
244,698.749
243,695.229
244,697.37
